Date,Open,High,Low,Close,Adj Close,Volume,L
2017-06-27,145.009995,146.160004,1,143.729996,141.529938,24761900,143.619995
2017-06-28,144.490005,146.110001,2,145.830002,143.597794,22082400,143.160004
2017-06-29,144.710007,145.130005,3,143.679993,141.480713,31499400,142.279999
2017-06-30,144.449997,144.960007,4,144.020004,141.815506,23024100,143.779999
2017-07-03,144.880005,145.300003,5,143.5,141.303467,14258300,143.100006
2017-07-05,143.690002,144.789993,6,144.089996,141.88443,21569600,142.720001
2017-07-06,143.020004,143.5,7,142.729996,140.545258,24128800,142.410004
2017-07-07,142.899994,144.75,8,144.179993,141.973053,19201700,142.899994
2017-07-10,144.110001,145.949997,9,145.059998,142.839584,21090600,143.369995
2017-07-11,144.729996,145.850006,10,145.529999,143.302399,19781800,144.380005
2017-07-12,145.869995,146.179993,11,145.740005,143.509186,24884500,144.820007
2017-07-13,145.5,148.490005,12,147.770004,145.508102,25199400,145.440002
2017-07-14,147.970001,149.330002,13,149.039993,146.758636,20132100,147.330002
2017-07-17,148.820007,150.899994,14,149.559998,147.270706,23793500,148.570007
2017-07-18,149.199997,150.130005,15,150.080002,147.782761,17868800,148.669998
2017-07-19,150.479996,151.419998,16,151.020004,148.708359,20923000,149.949997
2017-07-20,151.5,151.740005,17,150.339996,148.038757,17243700,150.190002
2017-07-21,149.990005,150.440002,18,150.270004,147.969849,26252600,148.880005
2017-07-24,150.580002,152.440002,19,152.089996,149.761978,21493200,149.899994
2017-07-25,151.800003,153.839996,20,152.740005,150.402039,18853900,151.800003
2017-07-26,153.350006,153.929993,21,153.460007,151.111023,15781000,153.059998
2017-07-27,153.75,153.990005,22,150.559998,148.255402,32476300,147.300003
2017-07-28,149.889999,150.229996,23,149.5,147.211624,17213700,149.190002
2017-07-31,149.899994,150.330002,24,148.729996,146.4534,19845900,148.130005
2017-08-01,149.100006,150.220001,25,150.050003,147.753204,35368600,148.410004
2017-08-02,159.279999,159.75,26,157.139999,154.734665,69936800,156.160004
2017-08-03,157.050003,157.210007,27,155.570007,153.188705,27097300,155.020004
2017-08-04,156.070007,157.399994,28,156.389999,153.99614,20559900,155.690002
2017-08-07,157.059998,158.919998,29,158.809998,156.37912,21870300,156.669998
2017-08-08,158.600006,161.830002,30,160.080002,157.629684,36205900,158.270004
2017-08-09,159.259995,161.270004,31,161.059998,158.594666,26131500,159.110001
2017-08-10,159.899994,160,32,155.320007,153.543152,40804300,154.630005
2017-08-11,156.600006,158.570007,33,157.479996,155.678436,26257100,156.070007
2017-08-14,159.320007,160.210007,34,159.850006,158.021317,22122700,158.75
2017-08-15,160.660004,162.199997,35,161.600006,159.751297,29465500,160.139999
2017-08-16,161.940002,162.509995,36,160.949997,159.108719,27671600,160.149994
2017-08-17,160.520004,160.710007,37,157.860001,156.054092,27940600,157.839996
2017-08-18,157.860001,159.5,38,157.5,155.698212,27428100,156.720001
2017-08-21,157.5,157.889999,39,157.210007,155.41153,26368500,155.110001
2017-08-22,158.229996,160,40,159.779999,157.952118,21604600,158.020004
2017-08-23,159.070007,160.470001,41,159.979996,158.149826,19399100,158.880005
2017-08-24,160.429993,160.740005,42,159.270004,157.447952,19818900,158.550003
2017-08-25,159.649994,160.559998,43,159.860001,158.031189,25480100,159.270004
2017-08-28,160.139999,162,44,161.470001,159.622787,25966000,159.929993
2017-08-29,160.100006,163.119995,45,162.910004,161.046326,29516900,160
2017-08-30,163.800003,163.889999,46,163.350006,161.481277,27269600,162.610001
2017-08-31,163.639999,164.520004,47,164,162.12384,26785100,163.479996
2017-09-01,164.800003,164.940002,48,164.050003,162.173279,16591100,163.630005
2017-09-05,163.75,164.25,49,162.080002,160.225815,29468500,160.559998
2017-09-06,162.710007,162.990005,50,161.910004,160.057755,21651700,160.520004
